surah_number,ayah_number,arabic_uthmani,blank,english_saheeh_international
2,161,إِنَّ الَّذينَ كَفَروا وَماتوا وَهُم كُفّارٌ أُولٰئِكَ عَلَيهِم لَعنَةُ اللَّهِ وَالمَلائِكَةِ وَالنّاسِ أَجمَعينَ,ʾinnalladhīn kafarū w-mātū w-hum kuffār ʾulāʾik ʿalayhim laʿnat llāh w-l-malāʾikat w-n-nās ʾajmaʿīn,"Indeed, those who disbelieve and die while they are disbelievers - upon them will be the curse of Allah and of the angels and the people, all together"
2,162,خالِدينَ فيها ۖ لا يُخَفَّفُ عَنهُمُ العَذابُ وَلا هُم يُنظَرونَ,khālidīn fīhā lā yukhaffaf ʿanhumul-ʿadhāb w-lā hum yunẓarūn,"Abiding eternally therein. The punishment will not be lightened for them, nor will they be reprieved"
2,163,وَإِلٰهُكُم إِلٰهٌ واحِدٌ ۖ لا إِلٰهَ إِلّا هُوَ الرَّحمٰنُ الرَّحيمُ,w-ʾilāhukum ʾilāh wāḥid lā ʾilāh ʾillā huw r-raḥmān r-raḥīm,"And your god is one God. There is no deity worthy of worship except Him, the Entirely Merciful, the Especially Merciful"
2,164,إِنَّ في خَلقِ السَّماواتِ وَالأَرضِ وَاختِلافِ اللَّيلِ وَالنَّهارِ وَالفُلكِ الَّتي تَجري فِي البَحرِ بِما يَنفَعُ النّاسَ وَما أَنزَلَ اللَّهُ مِنَ السَّماءِ مِن ماءٍ فَأَحيا بِهِ الأَرضَ بَعدَ مَوتِها وَبَثَّ فيها مِن كُلِّ دابَّةٍ وَتَصريفِ الرِّياحِ وَالسَّحابِ المُسَخَّرِ بَينَ السَّماءِ وَالأَرضِ لَآياتٍ لِقَومٍ يَعقِلونَ,ʾinn fī khalq s-samāwāt w-l-ʾarḍ w-khtilāfil-layl w-n-nahār w-l-fulk llatī tajrī fīl-baḥr b-mā yanfaʿ n-nās w-mā ʾanzal llāh min s-samāʾ m māʾ f-ʾaḥyā bihil-ʾarḍ baʿd mawtihā w-bathth fīhā m kull dābbat w-taṣrīf r-riyāḥ w-s-saḥābil-musakhkhar bayn s-samāʾ w-l-ʾarḍ l-ʾāyāt l-qawm yaʿqilūn,"Indeed, in the creation of the heavens and earth, and the alternation of the night and the day, and the great ships which sail through the sea with that which benefits people, and what Allah has sent down from the heavens of rain, giving life thereby to the earth after its lifelessness and dispersing therein every kind of moving creature, and His directing of the winds and the clouds controlled between the heaven and the earth are signs for a people who use reason"
2,165,وَمِنَ النّاسِ مَن يَتَّخِذُ مِن دونِ اللَّهِ أَندادًا يُحِبّونَهُم كَحُبِّ اللَّهِ ۖ وَالَّذينَ آمَنوا أَشَدُّ حُبًّا لِلَّهِ ۗ وَلَو يَرَى الَّذينَ ظَلَموا إِذ يَرَونَ العَذابَ أَنَّ القُوَّةَ لِلَّهِ جَميعًا وَأَنَّ اللَّهَ شَديدُ العَذابِ,w-min n-nās m yattakhidh m dūn llāh ʾandād yuḥibbūnahum k-ḥubb llāh w-lladhīn ʾāmanū ʾashadd ḥubb l-llāh w-law yarālladhīn ẓalamū ʾidh yarawnal-ʿadhāb ʾannal-quwwat l-llāh jamīʿ w-ʾann llāh shadīdul-ʿadhāb,"And yet, among the people are those who take other than Allah as equals to Him. They love them as they should love Allah. But those who believe are stronger in love for Allah. And if only they who have wronged would consider that when they see the punishment, they will be certain that all power belongs to Allah and that Allah is severe in punishment"
2,166,إِذ تَبَرَّأَ الَّذينَ اتُّبِعوا مِنَ الَّذينَ اتَّبَعوا وَرَأَوُا العَذابَ وَتَقَطَّعَت بِهِمُ الأَسبابُ,ʾidh tabarraʾalladhīn ttubiʿū minalladhīn ttabaʿū w-raʾawul-ʿadhāb w-taqaṭṭaʿat bihimul-ʾasbāb,"And they should consider that when those who have been followed disassociate themselves from those who followed them, and they all see the punishment, and cut off from them are the ties of relationship"
2,167,وَقالَ الَّذينَ اتَّبَعوا لَو أَنَّ لَنا كَرَّةً فَنَتَبَرَّأَ مِنهُم كَما تَبَرَّءوا مِنّا ۗ كَذٰلِكَ يُريهِمُ اللَّهُ أَعمالَهُم حَسَراتٍ عَلَيهِم ۖ وَما هُم بِخارِجينَ مِنَ النّارِ,w-qālalladhīn ttabaʿū law ʾann lanā karrat f-natabarraʾ minhum k-mā tabarraʾū minnā k-dhālik yurīhim llāh ʾaʿmālahum ḥasarāt ʿalayhim w-mā hum b-khārijīn min n-nār,"Those who followed will say, ""If only we had another turn at worldly life so we could disassociate ourselves from them as they have disassociated themselves from us."" Thus will Allah show them their deeds as regrets upon them. And they are never to emerge from the Fire"
2,168,يا أَيُّهَا النّاسُ كُلوا مِمّا فِي الأَرضِ حَلالًا طَيِّبًا وَلا تَتَّبِعوا خُطُواتِ الشَّيطانِ ۚ إِنَّهُ لَكُم عَدُوٌّ مُبينٌ,yā-ʾayyuhā n-nās kulū mimmā fīl-ʾarḍ ḥalāl ṭayyib w-lā tattabiʿū khuṭuwāt sh-shayṭān ʾinnahū lakum ʿaduww mubīn,"O mankind, eat from whatever is on earth that is lawful and good and do not follow the footsteps of Satan. Indeed, he is to you a clear enemy"
2,169,إِنَّما يَأمُرُكُم بِالسّوءِ وَالفَحشاءِ وَأَن تَقولوا عَلَى اللَّهِ ما لا تَعلَمونَ,ʾinnamā yaʾmurukum b-s-sūʾ w-l-faḥshāʾ w-ʾ taqūlū ʿalā llāh mā lā taʿlamūn,He only orders you to evil and immorality and to say about Allah what you do not know
2,170,وَإِذا قيلَ لَهُمُ اتَّبِعوا ما أَنزَلَ اللَّهُ قالوا بَل نَتَّبِعُ ما أَلفَينا عَلَيهِ آباءَنا ۗ أَوَلَو كانَ آباؤُهُم لا يَعقِلونَ شَيئًا وَلا يَهتَدونَ,w-ʾidhā qīl lahum ttabiʿū mā ʾanzal llāh qālū bal nattabiʿ mā ʾalfaynā ʿalayh ʾābāʾanā ʾ-w-law kān ʾābāʾuhum lā yaʿqilūn shayʾ w-lā yahtadūn,"And when it is said to them, ""Follow what Allah has revealed,"" they say, ""Rather, we will follow that which we found our fathers doing."" Even though their fathers understood nothing, nor were they guided"
2,171,وَمَثَلُ الَّذينَ كَفَروا كَمَثَلِ الَّذي يَنعِقُ بِما لا يَسمَعُ إِلّا دُعاءً وَنِداءً ۚ صُمٌّ بُكمٌ عُميٌ فَهُم لا يَعقِلونَ,w-mathalulladhīn kafarū k-mathalilladhī yanʿiq b-mā lā yasmaʿ ʾillā duʿāʾ w-nidāʾ ṣumm bukm ʿumy f-hum lā yaʿqilūn,"The example of those who disbelieve is like that of one who shouts at what hears nothing but calls and cries cattle or sheep - deaf, dumb and blind, so they do not understand"
2,172,يا أَيُّهَا الَّذينَ آمَنوا كُلوا مِن طَيِّباتِ ما رَزَقناكُم وَاشكُروا لِلَّهِ إِن كُنتُم إِيّاهُ تَعبُدونَ,yā-ʾayyuhālladhīn ʾāmanū kulū m ṭayyibātimā razaqnākum w-shkurū l-llāh ʾ kuntum ʾiyyāh taʿbudūn,"O you who have believed, eat from the good things which We have provided for you and be grateful to Allah if it is indeed Him that you worship"
2,173,إِنَّما حَرَّمَ عَلَيكُمُ المَيتَةَ وَالدَّمَ وَلَحمَ الخِنزيرِ وَما أُهِلَّ بِهِ لِغَيرِ اللَّهِ ۖ فَمَنِ اضطُرَّ غَيرَ باغٍ وَلا عادٍ فَلا إِثمَ عَلَيهِ ۚ إِنَّ اللَّهَ غَفورٌ رَحيمٌ,ʾinnamā ḥarram ʿalaykumul-maytat w-d-dam w-l-laḥmal-khinzīr w-mā ʾuhill bihī l-ghayr llāh f-man ḍṭurr ghayr bāgh w-lā ʿād f-lā ʾithm ʿalayh ʾinn llāh ghafūr raḥīm,"He has only forbidden to you dead animals, blood, the flesh of swine, and that which has been dedicated to other than Allah. But whoever is forced by necessity, neither desiring it nor transgressing its limit, there is no sin upon him. Indeed, Allah is Forgiving and Merciful"
2,174,إِنَّ الَّذينَ يَكتُمونَ ما أَنزَلَ اللَّهُ مِنَ الكِتابِ وَيَشتَرونَ بِهِ ثَمَنًا قَليلًا ۙ أُولٰئِكَ ما يَأكُلونَ في بُطونِهِم إِلَّا النّارَ وَلا يُكَلِّمُهُمُ اللَّهُ يَومَ القِيامَةِ وَلا يُزَكّيهِم وَلَهُم عَذابٌ أَليمٌ,ʾinnalladhīn yaktumūn mā ʾanzal llāh minal-kitāb w-yashtarūn bihī thaman qalīl ʾulāʾik mā yaʾkulūn fī buṭūnihim ʾillā n-nār w-lā yukallimuhum llāh yawmal-qiyāmat w-lā yuzakkīhim w-lahum ʿadhāb ʾalīm,"Indeed, they who conceal what Allah has sent down of the Book and exchange it for a small price - those consume not into their bellies except the Fire. And Allah will not speak to them on the Day of Resurrection, nor will He purify them. And they will have a painful punishment"
2,175,أُولٰئِكَ الَّذينَ اشتَرَوُا الضَّلالَةَ بِالهُدىٰ وَالعَذابَ بِالمَغفِرَةِ ۚ فَما أَصبَرَهُم عَلَى النّارِ,ʾulāʾikalladhīn shtaraw ḍ-ḍalālat b-l-hudā w-l-ʿadhāb b-l-maghfirat f-mā ʾaṣbarahum ʿalā n-nār,Those are the ones who have exchanged guidance for error and forgiveness for punishment. How patient they are in pursuit of the Fire
2,176,ذٰلِكَ بِأَنَّ اللَّهَ نَزَّلَ الكِتابَ بِالحَقِّ ۗ وَإِنَّ الَّذينَ اختَلَفوا فِي الكِتابِ لَفي شِقاقٍ بَعيدٍ,dhālik b-ʾann llāh nazzalal-kitāb b-l-ḥaqq w-ʾinnalladhīn khtalafū fīl-kitāb l-fī shiqāq baʿīd,"That is deserved by them because Allah has sent down the Book in truth. And indeed, those who differ over the Book are in extreme dissension"
2,177,۞ لَيسَ البِرَّ أَن تُوَلّوا وُجوهَكُم قِبَلَ المَشرِقِ وَالمَغرِبِ وَلٰكِنَّ البِرَّ مَن آمَنَ بِاللَّهِ وَاليَومِ الآخِرِ وَالمَلائِكَةِ وَالكِتابِ وَالنَّبِيّينَ وَآتَى المالَ عَلىٰ حُبِّهِ ذَوِي القُربىٰ وَاليَتامىٰ وَالمَساكينَ وَابنَ السَّبيلِ وَالسّائِلينَ وَفِي الرِّقابِ وَأَقامَ الصَّلاةَ وَآتَى الزَّكاةَ وَالموفونَ بِعَهدِهِم إِذا عاهَدوا ۖ وَالصّابِرينَ فِي البَأساءِ وَالضَّرّاءِ وَحينَ البَأسِ ۗ أُولٰئِكَ الَّذينَ صَدَقوا ۖ وَأُولٰئِكَ هُمُ المُتَّقونَ,laysal-birr ʾ tuwallū wujūhakum qibalal-mashriq w-l-maghrib w-lākinnal-birr m ʾāman b-llāh w-l-yawmil-ʾākhir w-l-malāʾikat w-l-kitāb w-n-nabiyyīn w-ʾātāl-māl ʿalā ḥubbihī dhawīl-qurbā w-l-yatāmā w-l-masākīn w-bn s-sabīl w-s-sāʾilīn w-fī r-riqāb w-ʾaqām ṣ-ṣalāt w-ʾātā z-zakāt w-l-mūfūn b-ʿahdihim ʾidhā ʿāhadū w-ṣ-ṣābirīn fīl-baʾsāʾ w-ḍ-ḍarrāʾ w-ḥīnal-baʾs ʾulāʾikalladhīn ṣadaqū w-ʾulāʾik humul-muttaqūn,"Righteousness is not that you turn your faces toward the east or the west, but true righteousness is in one who believes in Allah, the Last Day, the angels, the Book, and the prophets and gives wealth, in spite of love for it, to relatives, orphans, the needy, the traveler, those who ask for help, and for freeing slaves; and who establishes prayer and gives zakah; those who fulfill their promise when they promise; and those who are patient in poverty and hardship and during battle. Those are the ones who have been true, and it is those who are the righteous"
2,178,يا أَيُّهَا الَّذينَ آمَنوا كُتِبَ عَلَيكُمُ القِصاصُ فِي القَتلَى ۖ الحُرُّ بِالحُرِّ وَالعَبدُ بِالعَبدِ وَالأُنثىٰ بِالأُنثىٰ ۚ فَمَن عُفِيَ لَهُ مِن أَخيهِ شَيءٌ فَاتِّباعٌ بِالمَعروفِ وَأَداءٌ إِلَيهِ بِإِحسانٍ ۗ ذٰلِكَ تَخفيفٌ مِن رَبِّكُم وَرَحمَةٌ ۗ فَمَنِ اعتَدىٰ بَعدَ ذٰلِكَ فَلَهُ عَذابٌ أَليمٌ,yā-ʾayyuhālladhīn ʾāmanū kutib ʿalaykumul-qiṣāṣ fīl-qatlāl-ḥurr b-l-ḥurr w-l-ʿabd b-l-ʿabd w-l-ʾunthā b-l-ʾunthā f-m ʿufiy lahū m ʾakhīh shayʾ f-ttibāʿ b-l-maʿrūf w-ʾadāʾ ʾilayh b-ʾiḥsān dhālik takhfīf m rabbikum w-raḥmat f-man ʿtadā baʿd dhālik f-lahū ʿadhāb ʾalīm,"O you who have believed, prescribed for you is legal retribution for those murdered - the free for the free, the slave for the slave, and the female for the female. But whoever overlooks from his brother anything, then there should be a suitable follow-up and payment to him with good conduct. This is an alleviation from your Lord and a mercy. But whoever transgresses after that will have a painful punishment"
2,179,وَلَكُم فِي القِصاصِ حَياةٌ يا أُولِي الأَلبابِ لَعَلَّكُم تَتَّقونَ,w-lakum fīl-qiṣāṣ ḥayāt yā-ʾulīl-ʾalbāb laʿallakum tattaqūn,"And there is for you in legal retribution saving of life, O you people of understanding, that you may become righteous"
2,180,كُتِبَ عَلَيكُم إِذا حَضَرَ أَحَدَكُمُ المَوتُ إِن تَرَكَ خَيرًا الوَصِيَّةُ لِلوالِدَينِ وَالأَقرَبينَ بِالمَعروفِ ۖ حَقًّا عَلَى المُتَّقينَ,kutib ʿalaykum ʾidhā ḥaḍar ʾaḥadakumul-mawt ʾ tarak khayr-il-waṣiyyat l-l-wālidayn w-l-ʾaqrabīn b-l-maʿrūf ḥaqq ʿalāl-muttaqīn,Prescribed for you when death approaches any one of you if he leaves wealth is that he should make a bequest for the parents and near relatives according to what is acceptable - a duty upon the righteous
2,181,فَمَن بَدَّلَهُ بَعدَما سَمِعَهُ فَإِنَّما إِثمُهُ عَلَى الَّذينَ يُبَدِّلونَهُ ۚ إِنَّ اللَّهَ سَميعٌ عَليمٌ,f-m baddalahū baʿd mā samiʿahū f-ʾinnamā ʾithmuhū ʿalālladhīn yubaddilūnahū ʾinn llāh samīʿ ʿalīm,"Then whoever alters the bequest after he has heard it - the sin is only upon those who have altered it. Indeed, Allah is Hearing and Knowing"
2,182,فَمَن خافَ مِن موصٍ جَنَفًا أَو إِثمًا فَأَصلَحَ بَينَهُم فَلا إِثمَ عَلَيهِ ۚ إِنَّ اللَّهَ غَفورٌ رَحيمٌ,f-m khāf m mūṣ janaf ʾaw ʾithm f-ʾaṣlaḥ baynahum f-lā ʾithm ʿalayh ʾinn llāh ghafūr raḥīm,"But if one fears from the bequeather some error or sin and corrects that which is between them, there is no sin upon him. Indeed, Allah is Forgiving and Merciful"
2,183,يا أَيُّهَا الَّذينَ آمَنوا كُتِبَ عَلَيكُمُ الصِّيامُ كَما كُتِبَ عَلَى الَّذينَ مِن قَبلِكُم لَعَلَّكُم تَتَّقونَ,yā-ʾayyuhālladhīn ʾāmanū kutib ʿalaykum ṣ-ṣiyām k-mā kutib ʿalālladhīn m qablikum laʿallakum tattaqūn,"O you who have believed, decreed upon you is fasting as it was decreed upon those before you that you may become righteous"
2,184,أَيّامًا مَعدوداتٍ ۚ فَمَن كانَ مِنكُم مَريضًا أَو عَلىٰ سَفَرٍ فَعِدَّةٌ مِن أَيّامٍ أُخَرَ ۚ وَعَلَى الَّذينَ يُطيقونَهُ فِديَةٌ طَعامُ مِسكينٍ ۖ فَإِض رَمَضاوِيٌّ تَبَعَ ثَلاثَةَ أَيّامٍ ۚ ذٰلِكَ خَيرٌ لَهُ ۚ وَأَن تَصوموا خَيرٌ لَكُم ۖ إِن كُنتُم تَعلَمونَ,ʾayyāmam-maʿdūdāt f-m kān minkum marīḍ ʾaw ʿalā safar f-ʿiddat m ʾayyām ʾukhar w-ʿalālladhīn yuṭīqūnahū fidyat ṭaʿām miskīn f-m taṭawwaʿ khayr f-huw khayr lahū w-ʾ taṣūmū khayr lakum ʾ kuntum taʿlamūn,"Fasting for a limited number of days. So whoever among you is ill or on a journey during them - then an equal number of days are to be made up. And upon those who are able to fast, but with hardship - a ransom as substitute of feeding a poor person each day. And whoever volunteers excess - it is better for him. But to fast is best for you, if you only knew"
2,185,شَهرُ رَمَضانَ الَّذي أُنزِلَ فيهِ القُرآنُ هُدًى لِلنّاسِ وَبَيِّناتٍ مِنَ الهُدىٰ وَالفُرقانِ ۚ فَمَن شَهِدَ مِنكُمُ الشَّهرَ فَليَصُمهُ ۖ وَمَن كانَ مَريضًا أَو عَلىٰ سَفَرٍ فَعِدَّةٌ مِن أَيّامٍ أُخَرَ ۗ يُريدُ اللَّهُ بِكُمُ اليُسرَ وَلا يُريدُ بِكُمُ العُسرَ وَلِتُكمِلُوا العِدَّةَ وَلِتُكَبِّرُوا اللَّهَ عَلىٰ ما هَداكُم وَلَعَلَّكُم تَشكُرونَ,shahr ramaḍānalladhī ʾunzil fīhil-qurʾān hud l-n-nās w-bayyināt minal-hudā w-l-furqān f-m shahid minkum sh-shahr f-l-yaṣumh w-m kān marīḍ ʾaw-ʿalā safar f-ʿiddat m ʾayyām ʾukhar yurīd llāh bikumul-yusr w-lā yurīd bikumul-ʿusr w-l-tukmilūl-ʿiddat w-l-tukabbirū llāh ʿalā mā hadākum w-laʿallakum tashkurūn,"The month of Ramadhan is that in which was revealed the Qur'an, a guidance for the people and clear proofs of guidance and criterion. So whoever sights the new moon of the month, let him fast it; and whoever is ill or on a journey - then an equal number of other days. Allah intends for you ease and does not intend for you hardship and wants for you to complete the period and to glorify Allah for that to which He has guided you; and perhaps you will be grateful"
2,186,وَإِذا سَأَلَكَ عِبادي عَنّي فَإِنّي قَريبٌ ۖ أُجيبُ دَعوَةَ الدّاعِ إِذا دَعانِ ۖ فَليَستَجيبوا لي وَليُؤمِنوا بي لَعَلَّهُم يَرشُدونَ,w-ʾidhā saʾalak ʿibādī ʿannī f-ʾinnī qarīb ʾujīb daʿwat d-dāʿ ʾidhā daʿān f-l-yastajībū lī w-l-yuʾminū bī laʿallahum yarshudūn,"And when My servants ask you, O Muhammad, concerning Me - indeed I am near. I respond to the invocation of the supplicant when he calls upon Me. So let them respond to Me by obedience and believe in Me that they may be rightly guided"
2,187,أُحِلَّ لَكُم لَيلَةَ الصّيَامِ الرَّفَثُ إِلىٰ نِسائِكُم ۚ هُنَّ لِباسٌ لَكُم وَأَنتُم لِباسٌ لَهُنَّ ۗ عَلِمَ اللَّهُ أَنَّكُم كُنتُم تَختانونَ أَنفُسَكُم فَتابَ عَلَيكُم وَعَفا عَنكُم ۖ فَالآنَ باشِروهُنَّ وَابتَغوا ما كَتَبَ اللَّهُ لَكُم ۚ وَكُلوا وَاشرَبوا حَتّىٰ يَتَبَيَّنَ لَكُمُ الخَيطُ الأَبيَضُ مِنَ الخَيطِ الأَسوَدِ مِنَ الفَجرِ ۖ ثُمَّ أَتِمُّوا الصِّيامَ إِلَى اللَّيلِ ۚ وَلا تُباشِروهُنَّ وَأَنتُم عاكِفونَ فِي المَساجِدِ ۗ تِلكَ حُدودُ اللَّهِ فَلا تَقرَبوها ۗ كَذٰلِكَ يُبَيِّنُ اللَّهُ آياتِهِ لِلنّاسِ لَعَلَّهُم يَتَّقونَ,ʾuḥill lakum laylat ṣ-ṣiyām r-rafath ʾilā nisāʾikum hunn libās lakum w-ʾantum libās lahunn ʿalim llāh ʾannakum kuntum takhtānūn ʾanfusakum f-tāb ʿalaykum w-ʿafā ʿankum f-l-ʾān bāshirūhunn w-btaghū mā katab llāh lakum w-kulū w-shrabū ḥattā yatabayyan lakumul-khayṭul-ʾabyaḍ minal-khayṭil-ʾaswad minal-fajr thumm ʾatimmū ṣ-ṣiyām ʾilāl-layl w-lā tubāshirūhunn w-ʾantum ʿākifūn fīl-masājid tilk ḥudūd llāh f-lā taqrabūhā k-dhālik yubayyin llāh ʾāyātihī l-n-nās laʿallahum yattaqūn,"It has been made permissible for you the night preceding fasting to go to your wives for sexual relations. They are clothing for you and you are clothing for them. Allah knows that you used to deceive yourselves, so He accepted your repentance and forgave you. So now, have relations with them and seek that which Allah has decreed for you. And eat and drink until the white thread of dawn becomes distinct to you from the black thread of night. Then complete the fast until the sunset. And do not have relations with them as long as you are staying for worship in the mosques. These are the limits set by Allah, so do not approach them. Thus does Allah make clear to His ordinances to the people that they may become righteous"
2,188,وَلا تَأكُلوا أَموالَكُم بَينَكُم بِالباطِلِ وَتُدلوا بِها إِلَى الحُكّامِ لِتَأكُلوا فَريقًا مِن أَموالِ النّاسِ بِالإِثمِ وَأَنتُم تَعلَمونَ,w-lā taʾkulū ʾamwālakum baynakum b-l-bāṭil w-tudlū bihā ʾilāl-ḥukkām l-taʾkulū farīqam-m ʾamwāl n-nās b-l-ʾithm w-ʾantum taʿlamūn,"And do not consume one another's wealth unjustly or send it in bribery to the rulers in order that they might aid you to consume a portion of the wealth of the people in sin, while you know it is unlawful"
2,189,۞ يَسأَلونَكَ عَنِ الأَهِلَّةِ ۖ قُل هِيَ مَواقيتُ لِلنّاسِ وَالحَجِّ ۗ وَلَيسَ البِرُّ بِأَن تَأتُوا البُيوتَ مِن ظُهورِها وَلٰكِنَّ البِرَّ مَنِ اتَّقىٰ ۗ وَأتُوا البُيوتَ مِن أَبوابِها ۚ وَاتَّقُوا اللَّهَ لَعَلَّكُم تُفلِحونَ,yasʾalūnak ʿanil-ʾahillat qul hiy mawāqīt l-n-nās w-l-ḥajj w-laysal-birr b-ʾ taʾtūl-buyūt m ẓuhūrihā w-lākinnal-birr man ttaqā w-ʾtūl-buyūt m ʾabwābihā w-ttaqū llāh laʿallakum tufliḥūn,"They ask you, O Muhammad, about the new moons. Say, ""They are measurements of time for the people and for Hajj."" And it is not righteousness to enter houses from the back, but righteousness is in one who fears Allah. And enter houses from their doors. And fear Allah that you may succeed"
2,190,وَقاتِلوا في سَبيلِ اللَّهِ الَّذينَ يُقاتِلونَكُم وَلا تَعتَدوا ۚ إِنَّ اللَّهَ لا يُحِبُّ المُعتَدينَ,w-qātilū fī sabīl llāhilladhīn yuqātilūnakum w-lā taʿtadū ʾinn llāh lā yuḥibbul-muʿtadīn,Fight in the way of Allah those who fight you but do not transgress. Indeed. Allah does not like transgressors
2,191,وَاقتُلوهُم حَيثُ ثَقِفتُموهُم وَأَخرِجوهُم مِن حَيثُ أَخرَجوكُم ۚ وَالفِتنَةُ أَشَدُّ مِنَ القَتلِ ۚ وَلا تُقاتِلوهُم عِندَ المَسجِدِ الحَرامِ حَتّىٰ يُقاتِلوكُم فيهِ ۖ فَإِن قاتَلوكُم فَاقتُلوهُم ۗ كَذٰلِكَ جَزاءُ الكافِرينَ,w-qtulūhum ḥayth thaqiftumūhum w-ʾakhrijūhum m ḥayth ʾakhrajūkum w-l-fitnat ʾashadd minal-qatl w-lā tuqātilūhum ʿindal-masjidil-ḥarām ḥattā yuqātilūkum fīh f-ʾ qātalūkum f-qtulūhum k-dhālik jazāʾul-kāfirīn,"And kill them wherever you overtake them and expel them from wherever they have expelled you, and fitnah is worse than killing. And do not fight them at al-Masjid al- Haram until they fight you there. But if they fight you, then kill them. Such is the recompense of the disbelievers"
2,192,فَإِنِ انتَهَوا فَإِنَّ اللَّهَ غَفورٌ رَحيمٌ,f-ʾin ntahaw f-ʾinn llāh ghafūr raḥīm,"And if they cease, then indeed, Allah is Forgiving and Merciful"
2,193,وَقاتِلوهُم حَتّىٰ لا تَكونَ فِتنَةٌ وَيَكونَ الدّينُ لِلَّهِ ۖ فَإِنِ انتَهَوا فَلا عُدوانَ إِلّا عَلَى الظّالِمينَ,w-qātilūhum ḥattā lā takūn fitnat w-yakūn d-dīn l-llāh f-ʾin ntahaw f-lā ʿudwān ʾillā ʿalā ẓ-ẓālimīn,"Fight them until there is no more fitnah and until worship is acknowledged to be for Allah. But if they cease, then there is to be no aggression except against the oppressors"
2,194,الشَّهرُ الحَرامُ بِالشَّهرِ الحَرامِ وَالحُرُماتُ قِصاصٌ ۚ فَمَنِ اعتَدىٰ عَلَيكُم فَاعتَدوا عَلَيهِ بِمِثلِ مَا اعتَدىٰ عَلَيكُم ۚ وَاتَّقُوا اللَّهَ وَاعلَموا أَنَّ اللَّهَ مَعَ المُتَّقينَ,ash-shahrul-ḥarām b-sh-shahril-ḥarām w-l-ḥurumāt qiṣāṣ f-man ʿtadā ʿalaykum f-ʿtadū ʿalayh b-mithl mā ʿtadā ʿalaykum w-ttaqū llāh w-ʿlamū ʾann llāh maʿal-muttaqīn,"Fighting in the sacred month is for aggression committed in the sacred month, and for all violations is legal retribution. So whoever has assaulted you, then assault him in the same way that he has assaulted you. And fear Allah and know that Allah is with those who fear Him"
2,195,وَأَنفِقوا في سَبيلِ اللَّهِ وَلا تُلقوا بِأَيديكُم إِلَى التَّهلُكَةِ ۛ وَأَحسِنوا ۛ إِنَّ اللَّهَ يُحِبُّ المُحسِنينَ,w-ʾanfiqū fī sabīl llāh w-lā tulqū b-ʾaydīkum ʾilā t-tahlukat w-ʾaḥsinū ʾinn llāh yuḥibbul-muḥsinīn,"And spend in the way of Allah and do not throw yourselves with your own hands into destruction by refraining. And do good; indeed, Allah loves the doers of good"
2,196,وَأَتِمُّوا الحَجَّ وَالعُمرَةَ لِلَّهِ ۚ فَإِن أُحصِرتُم فَمَا استَيسَرَ مِنَ الهَديِ ۖ وَلا تَحلِقوا رُءوسَكُم حَتّىٰ يَبلُغَ الهَديُ مَحِلَّهُ ۚ فَمَن كانَ مِنكُم مَريضًا أَو بِهِ أَذًى مِن رَأسِهِ فَفِديَةٌ مِن صِيامٍ أَو صَدَقَةٍ أَو نُسُكٍ ۚ فَإِذا أَمِنتُم فَمَن تَمَتَّعَ بِالعُمرَةِ إِلَى الحَجِّ فَمَا استَيسَرَ مِنَ الهَديِ ۚ فَمَن لَم يَجِد فَصِيامُ ثَلاثَةِ أَيّامٍ فِي الحَجِّ وَسَبعَةٍ إِذا رَجَعتُم ۗ تِلكَ عَشَرَةٌ كامِلَةٌ ۗ ذٰلِكَ لِمَن لَم يَكُن أَهلُهُ حاضِرِي المَسجِدِ الحَرامِ ۚ وَاتَّقُوا اللَّهَ وَاعلَموا أَنَّ اللَّهَ شَديدُ العِقابِ,w-ʾatimmūl-ḥajj w-l-ʿumrat l-llāh f-ʾ ʾuḥṣirtum f-mā staysar minal-hady w-lā taḥliqū ruʾūsakum ḥattā yablughal-hady maḥillahū f-m kān minkum marīḍ ʾaw bihī ʾadham-m raʾsihī f-fidyat m ṣiyām ʾaw ṣadaqat ʾaw nusuk f-ʾidhā ʾamintum f-m tamattaʿ b-l-ʿumrat ʾilāl-ḥajj f-mā staysar minal-hady f-m lam yajid f-ṣiyām thalāthat ʾayyām fīl-ḥajj w-sabʿat ʾidhā rajaʿtum tilk ʿasharat kāmilat dhālik l-m lam yak ʾahluhū ḥāḍirīl-masjidil-ḥarām w-ttaqū llāh w-ʿlamū ʾann llāh shadīdul-ʿiqāb,"And complete the Hajj and 'umrah for Allah. But if you are prevented, then offer what can be obtained with ease of sacrificial animals. And do not shave your heads until the sacrificial animal has reached its place of slaughter. And whoever among you is ill or has an ailment of the head making shaving necessary must offer a ransom of fasting three days or charity or sacrifice. And when you are secure, then whoever performs 'umrah during the Hajj months followed by Hajj offers what can be obtained with ease of sacrificial animals. And whoever cannot find or afford such an animal - then a fast of three days during Hajj and of seven when you have returned home. Those are ten complete days. This is for those whose family is not in the area of al-Masjid al-Haram. And fear Allah and know that Allah is severe in penalty"
